case_id,fraud_class,is_fraud,transaction_amount,transaction_hour,account_age_days,transactions_last_24h,transactions_last_7d,transactions_last_1h,average_transaction_amount,amount_deviation_ratio,beneficiary_age_days,beneficiary_transaction_count,failed_otp_attempts,failed_login_attempts,device_age_days,geo_distance_from_usual_location_km,previous_fraud_reports,previous_chargebacks,account_risk_score,device_risk_score,ip_risk_score,velocity_score,beneficiary_risk_score,new_device,new_beneficiary,unusual_location,otp_requested,otp_shared,kyc_recently_changed,password_recently_changed,multiple_failed_logins,suspicious_link_clicked,remote_access_detected,transaction_channel,device_type,authentication_method,beneficiary_type,payment_method,geographic_region,account_type,incident_narrative,split
BENCH_02093,IMPERSONATION,True,46021.1,19,1048,6,17,2,8726.14,5.27,2,0,0,0,153,23.6,0,0,0.58,0.14,0.22,0.66,0.86,False,True,False,True,True,False,False,False,False,False,MOBILE_BANKING,ANDROID_MOBILE,MPIN,NEW_UNVERIFIED_VPA,NEFT,INTERNATIONAL_IP,SALARY,Received video call from someone in police uniform claiming a parcel containing contraband was seized at customs in my name.,train
BENCH_02164,IMPERSONATION,True,189715.28,11,1439,2,8,2,50773.41,3.74,0,0,0,0,1064,6.0,0,0,0.77,0.12,0.59,0.7,0.74,False,True,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,IMPS,INTERNATIONAL_IP,DIGITAL_WALLET,Individual claiming to be income tax commissioner called demanding immediate penalty settlement to avoid bank account freeze.,train
BENCH_01315,LEGITIMATE,False,470.55,16,1453,1,30,1,566.26,0.83,668,15,0,1,307,7.8,0,0,0.09,0.14,0.06,0.17,0.04,False,True,True,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,SMS_OTP,MERCHANT_P2M,DEBIT_CARD,WEST_INDIA,SAVINGS,Purchased an electronic gadget from an e-commerce festival sale. Payment deducted twice from savings account.,train
BENCH_02660,ACCOUNT_TAKEOVER,True,45222.29,6,1675,15,34,3,6550.83,6.9,0,0,3,5,1,254.4,1,0,0.77,0.81,0.87,0.82,0.86,True,True,True,True,False,True,True,True,True,False,NET_BANKING,MAC_DESKTOP,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,NORTH_INDIA,CURRENT,Installed a screen sharing remote support app recommended by someone claiming to fix device performance issues.,train
BENCH_02536,INVESTMENT_FRAUD,True,181146.63,21,1876,5,16,1,33078.02,5.48,10,2,0,0,547,14.8,0,0,0.7,0.39,0.53,0.89,0.73,False,True,False,True,False,False,False,False,True,False,UPI_APP,TABLET,SMS_OTP,NEW_UNVERIFIED_VPA,UPI_INTENT,WEST_INDIA,DIGITAL_WALLET,Promised daily guaranteed 5% return on custom trading terminal app provided via direct APK file download.,train
BENCH_02077,PHISHING,True,15075.54,12,1790,8,25,3,4582.49,3.29,4,0,1,2,55,92.4,0,0,0.66,0.52,0.62,0.89,0.91,True,True,True,True,True,True,False,True,True,True,UPI_APP,TABLET,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,NEFT,CENTRAL_INDIA,DIGITAL_WALLET,Received an alert about suspicious login attempt on net banking with a link to verify identity; entered card numbers and pin.,train
BENCH_02772,ACCOUNT_TAKEOVER,True,207812.31,4,2462,11,36,8,35088.25,5.92,0,0,2,5,0,1024.2,0,0,0.17,0.1,0.09,0.07,0.15,False,False,False,True,False,False,False,True,False,False,MOBILE_BANKING,MAC_DESKTOP,SMS_OTP,MERCHANT_P2M,IMPS,WEST_INDIA,SALARY,Routine utility transfer debited but service provider has not updated bill.,train
BENCH_02830,ACCOUNT_TAKEOVER,True,745945.15,0,1747,10,47,4,123481.84,6.04,0,0,2,3,1,822.7,0,0,0.73,0.83,0.98,0.89,0.98,True,True,True,True,False,True,True,True,False,True,NET_BANKING,WINDOWS_DESKTOP,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,WEST_INDIA,SALARY,Attacked by malware that intercepted SMS notifications and initiated transfers from my mobile banking app.,train
BENCH_01209,LEGITIMATE,False,1047.87,16,955,7,36,0,1040.36,1.01,59,21,0,0,983,13.6,0,0,0.56,0.8,0.13,0.7,0.81,True,False,True,True,False,False,True,False,False,False,MOBILE_BANKING,TABLET,SMS_OTP,NEW_UNVERIFIED_VPA,UPI_COLLECT,INTERNATIONAL_IP,SAVINGS,Paid a new unverified merchant for emergency repair supplies from a borrowed smartphone.,train
BENCH_02693,ACCOUNT_TAKEOVER,True,253718.01,22,1880,12,37,7,62490.81,4.06,0,0,2,3,2,555.2,0,0,0.17,0.11,0.08,0.2,0.17,False,False,False,True,False,False,False,True,False,False,MOBILE_BANKING,TABLET,SMS_OTP,MERCHANT_P2M,IMPS,NORTH_INDIA,SALARY,Paid regular subscription fee but vendor claimed non-receipt of payment.,train
